nombre_venta,tipo,codigo_carrito,descripcion_carrito,score
"BANANA CON DULCE DE LECHE (7,8KG)",granel,4000048,"BANANA C/DULC LECHE 7,800 KG GRIDO",81
"CAPUCCINO GRANIZADO (7,8)",granel,4000193,"CAPPUCCINO GRANIZADO 7,800 KG GRIDO",84
"CEREZA  (7,8KG)",granel,4000070,"CEREZA 7,800 KG - GRIDO",100
CHOCO BLANCO OREO,granel,4000827,"CHOCO BLANCO OREO 7,800 KG GRIDO",100
"CHOCOLATE (7,8KG)",granel,4000043,"CHOCOLATE 7,800 KG GRIDO",100
"CHOCOLATE BLANCO (7,8KG)",granel,4000059,"CHOCOLATE BLANCO 7,800 KG GRIDO",100
"CHOCOLATE CON ALMENDRAS (7,8KG)",granel,4000067,"CHOCOLATE C/ALMEN 7,800 KG GRIDO",100
CHOCOLATE DUBAI 7.8KG,granel,4000909,"CHOCOLATE DUBAI 7,800 KG GRIDO",100
"CHOCOLATE SUIZO (7,8KG)",granel,4000057,"CHOCOLATE SUIZO 7,800 KG GRIDO",100
"CREMA AMERICANA (7,8KG)",granel,4000045,"CREMA AMERICANA 7,800 KG GRIDO",100
"CREMA COOKIE (7,8KG)",granel,4000051,"CREMA COOKIE 7,800 KG GRIDO",100
"CREMA RUSA (7,8KG)",granel,4000066,"CREMA RUSA 7,800 KG GRIDO",100
"DULCE DE LECHE (7,8KG)",granel,4000041,"DULCE DE LECHE 7,800 KG GRIDO",100
"DULCE DE LECHE CON BROWNIE (7,8KG)",granel,4000069,"DULCE LECHE C/BROWNIE 7,800 KG GRIDO",80
"DULCE DE LECHE CON NUEZ (7,8KG)",granel,4000068,"DULCE LECHE C/NUEZ 7,800 KG GRIDO",100
"DULCE DE LECHE GRANIZADO (7,8KG)",granel,4000046,"DULCE LECHE GRANIZADO 7,800 KG GRIDO",93
DURAZNO A LA CREMA,granel,4000316,"DURAZNO A LA CREMA 7,800 KG GRIDO",100
"FLAN (7,8KG)",granel,4000047,"FLAN 7,800 KG GRIDO",100
"FRUTILLA (7,8KG)",granel,4000194,"FRUTILLA AL AGUA 7,800 KG GRIDO",100
"FRUTILLA A LA CREMA (7,8KG)",granel,4000042,"FRUTILLA A LA CREMA 7,800KG GRIDO",100
"GRANIZADO (7,8KG)",granel,4000040,"GRANIZADO 7,800 KG GRIDO",100
KINOTOS AL WHISKY X 12 LTS,granel,4000056,"KINOTOS AL WHISKY 7,800 KG GRIDO",79
"LIMON AL AGUA (7,8KG)",granel,4000036,"LIMON AL AGUA 7,800 KG GRIDO",100
MANGO AL AGUA 7.8KG,granel,4000907,"MANGO AL AGUA 7,800 KG GRIDO",100
"MARACUYA (7,8KG)",granel,4000038,"MARACUYA AL AGUA 7,800 KG GRIDO",100
MARROC GRIDO,granel,4000054,"MARROC 7,800 KG GRIDO",100
"MASCARPONE CON FRUTOS DEL BOSQUE (7,8KG)",granel,4000058,"MASCAR.C/FRUTOS BOSQ 7,800KG GRIDO",100
"MENTA GRANIZADA (7,8KG)",granel,4000049,"MENTA GRANIZADA 7,800 KG GRIDO",100
"SAMBAYON (7,8KG)",granel,4000065,"SAMBAYON 7,800 KG GRIDO",100
SUPER DULCE DE LECHE,granel,4000064,"SUPER DULCE DE LECHE 7,800 KG GRIDO",100
"SUPER GRIDITO (7,8KG)",granel,4000050,"SUPER GRIDITO 7,800 KG GRIDO",100
"TIRAMISU (7,8KG)",granel,4000071,"TIRAMISU 7,800 KG GRIDO",100
"TRAMONTANA (7,8KG)",granel,4000055,"TRAMONTANA 7,800 KG GRIDO",100
"VAINILLA (7,8KG)",granel,4000044,"VAINILLA 7,800 KG GRIDO",100
Frambuesas Doble Chocolate X120,empaquetado,6002434,FRAMBUESAS DOBLE CHOC. 24 U X 120 G - GR,100
Frutillas Doble Chocolate X120,empaquetado,6002435,FRUTILLAS DOBLE CHOC. 24 U X 120 G - GR,100
Cups Black x 3,empaquetado,6002071,CUPS BLACK BOCA ANCHA 45 X 3 UN,100
Cups Conito x 5 Un.,empaquetado,6000014,CUPS CONITO X 40 BLISTER,100
Cups Familiar  x 3 Cucuruchos,empaquetado,6003296,CUCURUCHON EREVAN X 240 UN,100
Cups Vasitos x 6,empaquetado,6000196,CUPS VASO X 40 BLISTER,100
Familiar Nº 1,empaquetado,4000163,PACK X6 GRIDO FAMILIAR X3LTS NRO 1 GRIDO,100
Familiar Nº 2,empaquetado,4000164,PACK X 6 GRIDO FAMILIAR X3 LTS N2 GRIDO,100
Familiar Nº 3,empaquetado,4000165,PACK X6 GRIDO FAMILIAR X 3LTS NRO3 GRIDO,100
Familiar Nº 4,empaquetado,4000166,PACKX 6 GRIDO FAMILIAR X3 LTS N4  GRIDO,100
Tentacion 1 Lt Chocolate,empaquetado,4000158,PACK X 6 POTE X 1 LT CHOCOLATE GRIDO,100
Tentacion 1 Lt Chocolate Con Almendras,empaquetado,4000155,PACKX 6 POTE X1LT CHOC C/ALMENDRAS GRIDO,100
Tentacion 1 Lt Cookie,empaquetado,4000157,PACK X 6 POTE X 1LT CREMA COOKIE - GRIDO,100
Tentacion 1 Lt Crema Americana,empaquetado,4000162,PACK X6 POTE X 1LT CREMA AMERICANA GRIDO,100
Tentacion 1 Lt Dulce de Leche,empaquetado,4000159,PACK X 6 POTE X 1 LT NRO 9 DDL - GRIDO,100
Tentacion 1 Lt Dulce de Leche Granizado,empaquetado,4000153,PACKX6 POTE X 1LT D.LECHE GRANIZ GRIDO,100
Tentacion 1 Lt Frutilla,empaquetado,4000160,PACK X 6 POTE X 1 LT FRUTILLA - GRIDO,100
Tentacion 1 Lt Granizado,empaquetado,4000152,PACK X 6 POTE X 1LT GRANIZADO GRIDO,100
Tentacion 1 Lt Limon,empaquetado,4000156,PACK X 6 POTE X 1 LT NRO 6 LIMON - GRIDO,100
Tentacion 1 Lt Vainilla,empaquetado,4000161,PACK X 6 POTE X 1 LT  VAINILLA - GRIDO,100
Tentación 1l Menta Granizada,empaquetado,4000670,PACK X 6 POTE X 1 LT MENTA GRANIZ. GRIDO,100
Tentacion Toddy Galletitas,empaquetado,4000341,PACK 6 POTES X 1 LT GALLETITA TODDY -GRI,100
Bastoncito de Muzarella,empaquetado,6002672,PACK 16 UN. BASTONCITOS FRIZZIO 380 grs,100
Empanada de Carne Frizzio 4u x 80g,empaquetado,6003299,PACK 72 (18X4) EMPANADA DE CARNE FR x80g,100
Empanada de Jyq Frizzio 4u x 80g,empaquetado,6003300,PACK 72 (18X4) EMPANADA DE JyQ FR x80g,100
Mini Frizzio,empaquetado,6002674,PACK 20 UN. MINI PIZZA FRIZZIO X 180 grs,100
Pechuguita de Pollo,empaquetado,6002673,PACK 16 PECHUGUITA FRIZZIO 380 grs,100
Pizza Frizzio Integral,empaquetado,6002675,PACK 12 PIZZAS INTEGRAL FRIZZIO 530 grs.,100
Pizza Frizzio Mozzarella,empaquetado,6002671,PACK 12 CAJAS PIZZA FRIZZIO 510 grs.,100
Pizza Moz. y Jamon Frizzio,empaquetado,6002679,PACK 11 PIZZAS DE JAMON FRIZZIO 535 grs.,100
Pizza Tipo Casera,empaquetado,6002680,PACK X 8 PIZZA FRIZZIO T. CASERA 665 grs,100
Grido Tops Mini Rocklets,empaquetado,6000999,GRIDO TOPS  MINI ROCKLETS X 204 UNID,100
Grido Tops x 204 U,empaquetado,,NO APLICA,0
Lunchera Oficial Selección Argentina,empaquetado,,NO APLICA,0
Pote Reutilizable,empaquetado,6002422,POTE 1 KG REUTILIZABLE x 24 Un,100
Cremoso Americana en Caja x 20,empaquetado,4000854,PACK 10 CAJ. GRIDO CREMOSO AMER. X 10 UN,100
Cremoso Frutilla en Caja x 20,empaquetado,4000855,PACK 10 CAJ. GRIDO CREMOSO FRUT. X 10 UN,100
Palito Bombon en Caja x 20,empaquetado,4000859,PACK 10 CAJ. PALITO BOMBON GRIDO X 10 UN,100
Palito Bombón X10 Un.,empaquetado,4000859,PACK 10 CAJ. PALITO BOMBON GRIDO X 10 UN,100
Palito Cremoso Americana X10 U.,empaquetado,4000854,PACK 10 CAJ. GRIDO CREMOSO AMER. X 10 UN,100
Palito Cremoso Frutilla X10 U.,empaquetado,4000855,PACK 10 CAJ. GRIDO CREMOSO FRUT. X 10 UN,100
Palito Frutal Frutilla en Caja x 20,empaquetado,4000138,PACK 4 CAJAS GRIDO FRUTAL FRUTILLA X20,100
Palito Frutal Limon en Caja x 20,empaquetado,4000139,PACK 4 CAJAS GRIDO FRUTAL LIMON X20,100
Palito Frutal Naranja en Caja X20,empaquetado,4000141,PACK 4 CAJAS GRIDO FRUTAL NARANJA X20,100
Alfajor Secreto Cookies And Cream x Un.,empaquetado,4000823,PACK 6 CAJ. ALFAJOR SECRETO COOKIES GR,100
Alfajor Secreto Cookies And Cream X6,empaquetado,4000823,PACK 6 CAJ. ALFAJOR SECRETO COOKIES GR,100
Almendrado en Caja x 8,empaquetado,4000143,PACK 6 CAJAS ALMENDRADO X 8 - GRIDO,100
Almendrado x Unidad,empaquetado,4000143,PACK 6 CAJAS ALMENDRADO X 8 - GRIDO,100
Barra Delicia Chocolate y Mani,empaquetado,4000593,PACK 4 U DELICIA DE CHOCO.Y MANÍ - GRIDO,100
Bombon Crocante en Caja x 8,empaquetado,4000145,PACK 6 CAJAS BOMBON CROCANTE X8 - GRIDO,100
Bombon Crocante x Unidad,empaquetado,4000145,PACK 6 CAJAS BOMBON CROCANTE X8 - GRIDO,100
Bombon Escoces en Caja x 8,empaquetado,4000147,PACK 6 CAJAS BOMBON ESCOCES X8 - GRIDO,100
Bombon Escoces x Unidad,empaquetado,4000147,PACK 6 CAJAS BOMBON ESCOCES X8 - GRIDO,100
Bombon Frutezza X8u.,empaquetado,4000867,PACK 6 CAJAS BOMBON FRUTEZZA X 8 - GRIDO,100
Bombon Frutezza Xu.,empaquetado,4000867,PACK 6 CAJAS BOMBON FRUTEZZA X 8 - GRIDO,100
Bombon Suizo en Caja x 8,empaquetado,4000146,PACK 6 CAJAS BOMBON SUIZO X8 - GRIDO,100
Bombon Suizo x Unidad,empaquetado,4000146,PACK 6 CAJAS BOMBON SUIZO X8 - GRIDO,100
Casatta en Caja x 8,empaquetado,4000142,PACK 6 CAJAS CASSATA X 8 GRIDO,100
Casatta x Unidad,empaquetado,4000142,PACK 6 CAJAS CASSATA X 8 GRIDO,100
Crocantino,empaquetado,4000144,PACK 4 U. POSTRE CROCANTINO - GRIDO,100
Postre Veg. Maní 80 Gr x Un,empaquetado,6002857,PACK 4 CAJAS POSTRE VEGANO MANI - GR,100
Mermelada Frutilla Grido,empaquetado,6000973,MERMELADA FRUTILLA GRIDO 454 GR X 12 UN,100
Salsas x 500 Grs,empaquetado,6000430,SALSA PREM. CHOCOLATE X500 grs. X 12UN,100
Torta Cookies And Cream,empaquetado,4000835,PACK X 6 TORTA COOKIES AND CREAM GR,100
Torta Frutillas Con Crema,empaquetado,4000892,PACK X 6 TORTA FRUTILLA GR,100
Torta Grido Rellena,empaquetado,4000446,PACK x 6 TORTA GRIDO C/RELLENO,100
CHOCOLATE MANI CRUNCH,granel,4000061,"CHOCOLATE MANI CRUNCH 7,800 KG GRIDO",100
FRUTOS ROJOS AL AGUA 12L7S/7.800 KG,granel,4000607,"FRUTOS ROJOS AL AGUA 7,800 KG GRIDO",85
"NARANJA AL AGUA (7,8)",granel,4000039,"NARANJA AL AGUA 12 7,800 KG GRIDO",82
Empanada Carne,empaquetado,6003299,PACK 72 (18X4) EMPANADA DE CARNE FR x80g,57
"Hel. ""Dul. Equi. Choco"" 80 Gr Xu.",empaquetado,6003154,DUL. EQUI CHOC 80 G - CAJA 12 U - GR,55
"Hel. ""Dul. Equi. Fruti"" 80 Gr Xu.",empaquetado,6003155,DUL. EQUI FRUTI 80 G - CAJA 12 U - GR,60
Postre Veg. Chocolate 80 Gr x Un,empaquetado,6003157,POSTRE VEG. CHOCO 80 G - CAJA 12 U - GR,74
Postre Veg. Vainilla 80 Gr x Un,empaquetado,6003159,POSTRE VEG. VANILL 80 G - CAJA 12 U - GR,77
Yogurt Hel. Frutilla x U,empaquetado,6003152,YOG HEL FRUTILLA 80 G - CAJA 12 U - GR,62
Yogurt Hel. Mango-Maracuyá Xu.,empaquetado,6003153,YOG HEL MAN/MAR 80 G - CAJA 12 U - GR,50
